identifier 3,identifier,identifier 2,project_title,project_abstract,project_url,digital_origin,form,object_in_context,public_note,physicalDescription_note,physicalDescription_note 2,subject_geographic 1,subject_geographic 2,subject_geographic 3,subject_geographic 4,subject_geographic 5,item_type,language,title_initial_article,title,rights,collection,collection_identifier,repository,name,record_source,file_thumbnail_URL,date_text,date_single_start,date_range_end,date_qualifier,public_note 2,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,subject_topical 5,subject_name 1,subject_name 2
0012_000603_000414_0001,derris_782,derris:782,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A782,Transcribed from slide mount: white azealas near the Sinks,Film type: Kodachrome Transparency,,The Sinks,Little River (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh91003381,,,,still image,zxx,,White Azealas near the Sinks,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A782/datastream/TN/view/White%20Azealas%20near%20the%20Sinks.jpg,1953-06,1953-06,,,,White Azaleas,,,,,,
0012_000603_000461_0001,derris_829,derris:829,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A829,Transcribed from slide mount: Wears Cove,Film type: Kodachrome Transparency,Camera setting: 25@11 on ∞ plain,"Wear Cove (Tenn.) | Coordinates: 35.73287, -83.60795",Roundtop Mountain,,,,still image,zxx,,Wears Cove,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A829/datastream/TN/view/Wears%20Cove.jpg,1959-11-02,1959-11-02,,,,,,,,,,
0012_000603_000488_0001,derris_856,derris:856,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A856,,Film type: Kodachrome Transparency,,"Foothills Parkway | Coordinates: 35.68425, -83.88629",,,,,still image,zxx,,View from Foothills Parkway,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A856/datastream/TN/view/View%20from%20Foothills%20Parkway.jpg,1959-05,1959-05,,,,,,,,,,
0012_000603_000241_0001,derris_609,derris:609,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A609,Transcribed from slide mount: Chimney [sp.] at Whitehead Home in Cades Cove; should use faster speed,Film type: Kodachrome Transparency,Camera setting: 7.4@60 on ∞; Tel Hook up Hand held,"Cades Cove (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85018626 | Coordinates: 35.60591, -83.78128",Henry Whitehead Place (Tenn.),,,,still image,zxx,,Chimney on Henry Whitehead Cabin in Cades Cove,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A609/datastream/TN/view/Chimney%20on%20Henry%20Whitehead%20Cabin%20in%20Cades%20Cove.jpg,1972-05-22,1972-05-22,,,,,,,,,,
0012_000603_000463_0001,derris_831,derris:831,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A831,Transcribed from slide mount: Wears Valley,Film type: Kodachrome Transparency,Camera setting: 8+@25 ∞ 8+ Pola,"Wear Cove (Tenn.) | Coordinates: 35.73287, -83.60795",Roundtop Mountain,,,,still image,zxx,,Wears Valley,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A831/datastream/TN/view/Wears%20Valley.jpg,1955-10-26,1955-10-26,,,,,,,,,,
0012_000603_000378_0001,derris_746,derris:746,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A746,Transcribed from slide mount: above the clouds on Rich Mt. 8-AM,Film type: Kodachrome Transparency,Camera setting: 11@50 on ∞; with sky filter,Rich Mountain,,,,,still image,zxx,,Above the Clouds on Rich Mountain,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A746/datastream/TN/view/Above%20the%20Clouds%20on%20Rich%20Mountain.jpg,1954-04-05,1954-04-05,,,,,,,,,,
0012_000603_000372_0001,derris_740,derris:740,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A740,Transcribed from slide mount: above the clouds on Rich Mt.; Dry Valley below,Film type: Kodachrome Transparency,Camera setting: 8-11@25 ∞ on 8-11,Rich Mountain,,,,,still image,zxx,,Above the Clouds on Rich Mountain,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A740/datastream/TN/view/Above%20the%20Clouds%20on%20Rich%20Mountain.jpg,1954-10-28,1954-10-28,,,,,,,,,,
0012_000603_000517_0001,derris_885,derris:885,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A885,Transcribed from slide mount: White Rhododendron Rich Mt Tower,Film type: Kodachrome Transparency,"Camera setting: 7@50@50 19""; hand held",Rich Mountain Tower,,,,,still image,zxx,,White Rhododendron at Rich Mountain Tower,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A885/datastream/TN/view/White%20Rhododendron%20at%20Rich%20Mountain%20Tower.jpg,1957-06-28,1957-06-28,,,,White Rhododendron,Rhododendron maximum | http://id.loc.gov/authorities/subjects/sh2005008326,,,,,
0012_000603_000374_0001,derris_742,derris:742,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A742,Transcribed from slide mount: Rich Mt Tower,Film type: Kodachrome Transparency,Camera setting: 56@50 on 56 Pola,Rich Mountain Tower,,,,,still image,zxx,,Rich Mountain Tower,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A742/datastream/TN/view/Rich%20Mountain%20Tower.jpg,1960-10-20,1960-10-20,,,,,,,,,,
0012_000603_000437_0001,derris_805,derris:805,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A805,,Film type: Kodachrome Transparency,Camera setting: 45@25 ∞ on 45,Walker Sisters Cabin,,,,,still image,zxx,,Louisa Walker,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A805/datastream/TN/view/Louisa%20Walker.jpg,1955-05-18,1955-05-18,,,,,,,,,"Walker, Louisa","Shelton, Caroline Walker"
0012_000603_000208_0001,derris_576,derris:576,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A576,,Film type: Kodachrome Transparency,Camera setting: 56@50,,,,,,still image,zxx,,Bear Cubs,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A576/datastream/TN/view/Bear%20Cubs.jpg,1957-08-28,1957-08-28,,,,Bears | http://id.loc.gov/authorities/subjects/sh85012691,,,,,,
0012_000603_000531_0001,derris_899,derris:899,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A899,,Film type: Kodachrome Transparency,Camera setting: 7-56@125; (+3-) close up,,,,,,still image,zxx,,Indian-Pipe,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A899/datastream/TN/view/Indian-Pipe.jpg,1972-10,1972-10,,,,Indian pipe (Plant) | http://id.loc.gov/authorities/subjects/sh2006001134,Indian pipe (Plant) | http://id.loc.gov/authorities/subjects/sh2006001134,,,,,
0012_000603_000377_0001,derris_745,derris:745,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A745,Transcribed from slide mount: Rich Mt Tower,Film type: Kodachrome Transparency,Camera setting: 8@50 on 8- Pola,Rich Mountain Tower,,,,,still image,zxx,,Rich Mountain Tower,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A745/datastream/TN/view/Rich%20Mountain%20Tower.jpg,1960-10-20,1960-10-20,,,,,,,,,,
0012_000603_000456_0001,derris_824,derris:824,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A824,Transcribed from slide mount: Mr Hedricks Loge [sp.] home. Wears Cove.; Mr Hauck Crawfordsville Ind.,Film type: Kodachrome Transparency,,"Wear Cove (Tenn.) | Coordinates: 35.73287, -83.60795",Roundtop Mountain,,,,still image,zxx,,Log Home in Wears Cove,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A824/datastream/TN/view/Log%20Home%20in%20Wears%20Cove.jpg,1953-07-22,1953-07-22,,,,,,,,,,
0012_000603_000357_0001,derris_725,derris:725,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A725,Transcribed from slide mount: at Newfound Gap,Film type: Kodachrome Transparency,Camera setting: 11@50 on ∞,"Newfound Gap (Tenn.) | Coordinates: 35.61121, -83.42488",,,,,still image,zxx,,View from Newfound Gap,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A725/datastream/TN/view/View%20from%20Newfound%20Gap.jpg,1953-11-27,1953-11-27,,,,,,,,,,
0012_000603_000388_0001,derris_756,derris:756,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A756,Transcribed from slide mount: Rich Mt.,Film type: Kodachrome Transparency,Camera setting: 11@50 on ∞; with filter,Rich Mountain,,,,,still image,zxx,,View from Rich Mountain Above the Clouds,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A756/datastream/TN/view/View%20from%20Rich%20Mountain%20Above%20the%20Clouds.jpg,1954-04-05,1954-04-05,,,,,,,,,,
0012_000603_000479_0001,derris_847,derris:847,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A847,Transcribed from slide mount: Wears Valley,Film type: Kodachrome Transparency,,"Wear Cove (Tenn.) | Coordinates: 35.73287, -83.60795",Roundtop Mountain,,,,still image,zxx,,Wears Valley,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A847/datastream/TN/view/Wears%20Valley.jpg,1975-01,1975-01,,,,,,,,,,
0012_000603_000333_0001,derris_701,derris:701,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A701,Transcribed from slide mount: Little River near Rube Buchannons,Film type: Kodachrome Transparency,Camera setting: 56@50  out ∞,Little River (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh91003381,,,,,still image,zxx,,Little River in Winter,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A701/datastream/TN/view/Little%20River%20in%20Winter.jpg,1954-01-08,1954-01-08,,,,,,,,,,
0012_000603_000466_0001,derris_834,derris:834,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A834,Transcribed from slide mount: Wears Valley road. At Blount County line at top of mt.; a new road is being built; Seller Home.,Film type: Kodachrome Transparency,,"Wear Cove (Tenn.) | Coordinates: 35.73287, -83.60795",Wear Valley Road,,,,still image,zxx,,Wears Valley Road at Blount County Line,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A834/datastream/TN/view/Wears%20Valley%20Road%20at%20Blount%20County%20Line.jpg,1952-10,1952-10,,,,,,,,,,
0012_000603_000287_0001,derris_655,derris:655,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A655,Transcribed from slide mount: Clingman [sp.] Dome,Film type: Kodachrome Transparency,Camera setting: 11@25 on 11 plain,"Clingmans Dome (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh2013001541 | Coordinates: 35.56287, -83.4985",,,,,still image,zxx,,View from Clingmans Dome,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A655/datastream/TN/view/View%20from%20Clingmans%20Dome.jpg,1959-10-15,1959-10-15,,,,,,,,,,
